"id","residenceId","buildingId","documentType","filetype","documentType","url"
3598763,2186396,,inspection,pdf,inspection,https://documents.bcdn.se/98/a6/373b0db5e5da/DOK9BDC74D7DC5E4720996DCA30AF4B631D_20241108142821.pdf
3598795,3632030,,inspection,pdf,inspection,https://documents.bcdn.se/c0/14/16fa2c1987a9/DOK308AB81DC958406BBB0CE748A4DC3E3F_20240924110734.pdf
3601098,1827067,58816203,inspection,pdf,inspection,https://documents.bcdn.se/0b/f8/913146d6e748/Besiktningsprotokoll-OBJ12412_2094339731.pdf
3601379,4062970,58754390,inspection,pdf,inspection,https://documents.bcdn.se/ff/61/0a6b60d3ec7a/DOKA9CC47D12AA647699DCD3500EB8186F5_20241108181254.pdf
3602109,2180059,,inspection,pdf,inspection,https://documents.bcdn.se/e8/8e/8dfcaadadbdf/DOKB15D8135F9A94913A5957B85C862DD10.pdf
3604261,2234433,,inspection,pdf,inspection,https://documents.bcdn.se/ee/61/624853527a94/DOK9D907E3C4FFF4F5091CB51540C57FDD2.pdf
3604356,3001352,59741339,inspection,pdf,inspection,https://documents.bcdn.se/93/2c/d228feec5031/Besiktningsprotokoll-Almvagen-OBJ12412_2089140222.pdf
3604531,3633068,58852926,inspection,pdf,inspection,https://documents.bcdn.se/ad/55/c157dc4d5b93/DOK0F814B14467447F79B8346386CBA0207_20240930102705.pdf
3605256,2490625,45405622,inspection,pdf,inspection,https://documents.bcdn.se/b3/d9/765bd4d472d1/DOK0E92B21933594F07B070FF72457C6493_20241001121431.pdf
3605789,,,inspection,pdf,inspection,https://documents.bcdn.se/70/bc/c9e2bbead552/Besiktning_Sofiebergsgatan_1.pdf
3605805,1952965,58863642,inspection,pdf,inspection,https://documents.bcdn.se/a3/fc/0da7f0b0b561/.pdf
3606285,2209948,58869231,inspection,pdf,inspection,https://documents.bcdn.se/57/29/5a97fc25953a/Överlåtelsebesiktning.pdf
3606756,2479780,58816590,inspection,pdf,inspection,https://documents.bcdn.se/b4/52/7fcad643f5e1/DOKCB72CBEB005D417E9FFBB69CF339253E_20241002163526.pdf
3607637,2109819,58878719,inspection,pdf,inspection,https://documents.bcdn.se/f3/35/ad80a50fdb09/CFIL5KBA20KLCN15DE3D.pdf
3608555,2117123,58863040,inspection,pdf,inspection,https://documents.bcdn.se/45/b4/56a187986407/DOK4C72009D87DD4DD7AA0BF3339F6E7FF0.pdf
3608570,2475722,,inspection,pdf,inspection,https://documents.bcdn.se/a7/1b/630f0a346879/Besiktningsprotokoll.pdf
3610014,2174550,58885562,inspection,pdf,inspection,https://documents.bcdn.se/e2/e9/e7b639692ca3/DOKC453BC9743D64562A20456BB2E0DF3EA_20241108135009.pdf
3610607,1817525,58907105,inspection,pdf,inspection,https://documents.bcdn.se/29/b1/088667e1e460/Besiktningsprotokoll-Parkgatan-5-OBJ12412_2093604666.pdf
3610663,2553739,58907307,inspection,pdf,inspection,https://documents.bcdn.se/85/41/849a0e05538d/besiktningsprotokoll.pdf
